license_number,entity_name,telephone_number,shl_endorsed,building,street,city,state,postcode,type_of_base,latitude,longitude,date,time,location
B03402,RL VIP LIMO INC,9294131346,No,41,MEDWAY AVE,CONGERS,NY,10920,LUXURY/LIMOUSINE,41.1413757,-73.935486,12/04/2023,18:00:12,"(41.1413757, -73.935486)"
B90713,"ELEGANTE SERVICES, INC.",7184927680,No,1804,RANDALL AVENUE,BRONX,NY,10473,PARATRANSIT BASE,40.816803,-73.862557,12/04/2023,18:00:12,"(40.816803, -73.862557)"
B02627,A PEGASUS LIMOUSINE CORP.,9737773007,No,176,SADDLE RIVER AVENUE  BLDG F,HACKENSACK,NJ,07606,LUXURY/LIMOUSINE,40.863348,-74.09752,12/04/2023,18:00:12,"(40.863348, -74.09752)"
B03456,3DI INC,5163250390,No,45,DOVER ST,MASSAPEQUA,NY,11758,BLACK CAR BASE,40.6769701,-73.4308555,12/04/2023,18:00:12,"(40.6769701, -73.4308555)"
B80182,EIGHT STAR INC.,3476446822,No,136-31,41 AVENUE  PH,FLUSHING,NY,11355,COMMUTER VAN AUTHORITY BASE,40.74931,-73.821321,12/04/2023,18:00:12,"(40.74931, -73.821321)"
B80145,ALEXIS VAN LINES INC,9174341614,No,3712,FLATLANDS AVENUE  2F,BROOKLYN,NY,11234,COMMUTER VAN AUTHORITY BASE,40.618436,-73.939214,12/04/2023,18:00:12,"(40.618436, -73.939214)"
B00628,"CONCORD LIMOUSINE 1, LLC",7189656150,No,712,3 AVENUE,BROOKLYN,NY,11232,BLACK CAR BASE,40.663353,-73.99894,12/04/2023,18:00:12,"(40.663353, -73.99894)"
B00227,"PARK WEST EXEC. SERVICES, INC.",2127277800,No,1200,SHAMES DRIVE  UNIT D,WESTBURY,NY,11590,LUXURY/LIMOUSINE,40.754855,-73.929205,12/04/2023,18:00:12,"(40.754855, -73.929205)"
B03416,ADF TRANSPORTATION LLC,3476636299,No,499,EAST  138 STREET,BRONX,NY,10454,BLACK CAR BASE,40.8078551,-73.9195148,12/04/2023,18:00:12,"(40.8078551, -73.9195148)"
B03160,"CURB TRANSPORTATION SERVICES,LLC",7187011317,No,11-11,34 AVENUE,LIC,NY,11106,BLACK CAR BASE,40.7648,-73.9808,12/04/2023,18:00:12,"(40.7648, -73.9808)"
B03467,SIMPLE RIDE TRANSPORTATION INC.,9172800935,No,370,EAST 149TH STREET  SUITE 2,BRONX,NY,10455,BLACK CAR BASE,40.9967453,-73.6757618,12/04/2023,18:00:12,"(40.9967453, -73.6757618)"
B02905,PUEBLA LUXURY CORP,7186335454,No,3916,9 AVENUE,BROOKLYN,NY,11232,BLACK CAR BASE,40.644255,-74.0001,12/04/2023,18:00:12,"(40.644255, -74.0001)"
B00619,"HOLA CAR SERVICE,INC.",7183646666,No,4371,3 AVENUE,BRONX,NY,10457,LIVERY BASE,40.850716,-73.894416,12/04/2023,18:00:12,"(40.850716, -73.894416)"
B00692,"CHEERS DISPATCH,INC.",7189654242,No,6202,NEW UTRECHT AVE,BROOKLYN,NY,11219,LIVERY BASE,40.667552,-73.98081,12/04/2023,18:00:12,"(40.667552, -73.98081)"
